iter	Passed	Remaining
505	1748	1707
506	1752	1703
507	1755	1700
508	1758	1696
509	1762	1692
510	1765	1689
511	1768	1685
512	1771	1681
513	1775	1678
514	1778	1675
515	1781	1671
516	1785	1667
517	1788	1664
518	1791	1660
519	1795	1657
520	1798	1653
521	1801	1649
522	1804	1646
523	1808	1642
524	1811	1639
525	1815	1635
526	1818	1632
527	1821	1628
528	1825	1625
529	1828	1621
530	1832	1618
531	1835	1614
532	1838	1610
533	1841	1607
534	1844	1603
535	1848	1599
536	1851	1596
537	1854	1592
538	1857	1588
539	1860	1585
540	1863	1581
541	1867	1577
542	1870	1574
543	1873	1570
544	1877	1567
545	1880	1563
546	1883	1559
547	1887	1556
548	1890	1553
549	1894	1549
550	1897	1546
551	1901	1543
552	1904	1539
553	1907	1535
554	1911	1532
555	1914	1528
556	1917	1525
557	1921	1521
558	1924	1518
559	1928	1515
560	1931	1511
561	1935	1508
562	1939	1505
563	1942	1501
564	1946	1498
565	1949	1494
566	1952	1491
567	1956	1487
568	1959	1484
569	1963	1481
570	1966	1477
571	1969	1473
572	1973	1470
573	1976	1467
574	1980	1463
575	1983	1460
576	1986	1456
577	1990	1453
578	1993	1449
579	1997	1446
580	2000	1442
581	2004	1439
582	2008	1436
583	2011	1432
584	2014	1429
585	2018	1425
586	2021	1422
587	2024	1418
588	2028	1415
589	2031	1411
590	2034	1408
591	2038	1404
592	2041	1401
593	2045	1397
594	2048	1394
595	2051	1390
596	2054	1387
597	2058	1383
598	2061	1379
599	2064	1376
600	2067	1372
601	2070	1369
602	2074	1365
603	2077	1361
604	2080	1358
605	2083	1354
606	2087	1351
607	2090	1347
608	2094	1344
609	2097	1341
610	2101	1337
611	2104	1334
612	2107	1330
613	2110	1327
614	2114	1323
615	2117	1319
616	2121	1316
617	2124	1313
618	2128	1309
619	2131	1306
620	2134	1302
621	2137	1299
622	2141	1295
623	2144	1292
624	2147	1288
625	2150	1285
626	2154	1281
627	2157	1277
628	2160	1274
629	2163	1270
630	2166	1267
631	2170	1263
632	2173	1260
633	2177	1256
634	2180	1253
635	2183	1249
636	2187	1246
637	2190	1242
638	2193	1239
639	2197	1235
640	2200	1232
641	2203	1228
642	2207	1225
643	2210	1222
644	2213	1218
645	2217	1215
646	2220	1211
647	2224	1208
648	2227	1204
649	2231	1201
650	2234	1197
651	2237	1194
652	2241	1190
653	2244	1187
654	2247	1183
655	2250	1180
656	2254	1176
657	2257	1173
658	2260	1169
659	2263	1166
660	2266	1162
661	2270	1159
662	2273	1155
663	2276	1152
664	2280	1148
665	2283	1144
666	2286	1141
667	2289	1137
668	2292	1134
669	2296	1130
670	2299	1127
671	2302	1123
672	2306	1120
673	2310	1117
674	2313	1113
675	2316	1110
676	2319	1106
677	2323	1103
678	2326	1099
679	2329	1096
680	2333	1092
681	2336	1089
682	2339	1086
683	2343	1082
684	2346	1079
685	2350	1075
686	2353	1072
687	2356	1068
688	2359	1065
689	2363	1061
690	2366	1058
691	2369	1054
692	2373	1051
693	2376	1047
694	2379	1044
695	2382	1040
696	2386	1037
697	2389	1033
698	2393	1030
699	2396	1027
700	2400	1023
701	2403	1020
702	2406	1016
703	2409	1013
704	2413	1009
705	2416	1006
706	2419	1002
707	2422	999
708	2426	995
709	2429	992
710	2432	988
711	2435	985
712	2438	981
713	2442	978
714	2445	974
715	2448	971
716	2452	967
717	2455	964
718	2458	960
719	2461	957
720	2465	953
721	2468	950
722	2471	946
723	2474	943
724	2478	939
725	2481	936
726	2484	932
727	2487	929
728	2491	926
729	2494	922
730	2497	919
731	2500	915
732	2504	912
733	2507	908
734	2510	905
735	2514	901
736	2517	898
737	2520	894
738	2524	891
739	2527	887
740	2530	884
741	2533	881
742	2537	877
743	2540	874
744	2543	870
745	2547	867
746	2550	863
747	2553	860
748	2557	856
749	2560	853
750	2564	850
751	2567	846
752	2570	843
753	2574	839
754	2577	836
755	2581	833
756	2584	829
757	2588	826
758	2591	822
759	2595	819
760	2598	816
761	2602	812
762	2605	809
763	2608	805
764	2611	802
765	2615	798
766	2618	795
767	2621	791
768	2625	788
769	2628	785
770	2631	781
771	2635	778
772	2638	774
773	2641	771
774	2645	767
775	2648	764
776	2652	761
777	2655	757
778	2658	754
779	2662	750
780	2665	747
781	2668	743
782	2672	740
783	2675	737
784	2678	733
785	2682	730
786	2685	726
787	2689	723
788	2692	720
789	2696	716
790	2700	713
791	2703	710
792	2706	706
793	2710	703
794	2713	699
795	2716	696
796	2720	692
797	2723	689
798	2726	686
799	2730	682
800	2733	679
801	2736	675
802	2740	672
803	2743	668
804	2746	665
805	2750	661
806	2753	658
807	2756	655
808	2759	651
809	2763	648
810	2766	644
811	2770	641
812	2773	637
813	2776	634
814	2779	631
815	2783	627
816	2786	624
817	2789	620
818	2793	617
819	2796	613
820	2799	610
821	2803	607
822	2806	603
823	2810	600
824	2813	596
825	2816	593
826	2820	589
827	2823	586
828	2826	583
829	2829	579
830	2832	576
831	2836	572
832	2839	569
833	2842	565
834	2845	562
835	2849	558
836	2852	555
837	2855	552
838	2859	548
839	2862	545
840	2865	541
841	2868	538
842	2871	534
843	2875	531
844	2878	527
845	2881	524
846	2884	521
847	2888	517
848	2891	514
849	2894	510
850	2898	507
851	2901	504
852	2905	500
853	2908	497
854	2912	493
855	2915	490
856	2919	487
857	2922	483
858	2926	480
859	2929	476
860	2932	473
861	2936	470
862	2940	466
863	2943	463
864	2947	459
865	2950	456
866	2953	453
867	2957	449
868	2961	446
869	2964	442
870	2968	439
871	2971	436
872	2974	432
873	2978	429
874	2982	426
875	2985	422
876	2989	419
877	2992	415
878	2996	412
879	2999	409
880	3002	405
881	3006	402
882	3009	398
883	3013	395
884	3016	391
885	3019	388
886	3023	385
887	3026	381
888	3030	378
889	3033	374
890	3036	371
891	3040	368
892	3043	364
893	3047	361
894	3050	357
895	3054	354
896	3058	351
897	3061	347
898	3065	344
899	3068	340
900	3072	337
901	3075	334
902	3079	330
903	3082	327
904	3086	323
905	3089	320
906	3093	317
907	3097	313
908	3100	310
909	3103	306
910	3107	303
911	3110	300
912	3114	296
913	3117	293
914	3120	289
915	3123	286
916	3127	283
917	3130	279
918	3133	276
919	3137	272
920	3140	269
921	3143	265
922	3147	262
923	3150	259
924	3153	255
925	3157	252
926	3160	248
927	3163	245
928	3167	242
929	3170	238
930	3173	235
931	3177	231
932	3180	228
933	3183	224
934	3187	221
935	3190	218
936	3193	214
937	3196	211
938	3200	207
939	3203	204
940	3207	201
941	3210	197
942	3213	194
943	3216	190
944	3219	187
945	3223	183
946	3226	180
947	3229	177
948	3233	173
949	3236	170
950	3239	166
951	3242	163
952	3246	160
953	3249	156
954	3252	153
955	3256	149
956	3260	146
957	3263	143
958	3266	139
959	3270	136
960	3274	132
961	3277	129
962	3281	126
963	3285	122
964	3288	119
965	3292	115
966	3296	112
967	3300	109
968	3303	105
969	3307	102
970	3310	98
971	3314	95
972	3317	92
973	3321	88
974	3325	85
975	3328	81
976	3332	78
977	3335	75
978	3339	71
979	3343	68
980	3346	64
981	3350	61
982	3354	58
983	3357	54
984	3361	51
985	3364	47
986	3368	44
987	3372	40
988	3375	37
989	3378	34
990	3382	30
991	3385	27
992	3389	23
993	3392	20
994	3395	17
995	3399	13
996	3402	10
997	3405	6
998	3408	3
999	3412	0
