iter	RMSE
0	0.1176683561
1	0.1168721743
2	0.1160046488
3	0.115241866
4	0.114529518
5	0.1138170512
6	0.1134528493
7	0.1130065661
8	0.1125089398
9	0.1119039318
10	0.1114494267
11	0.1110794162
12	0.1106008186
13	0.1103011981
14	0.1098333584
15	0.109488961
16	0.1091629929
17	0.1088780486
18	0.1085987013
19	0.1082568449
20	0.1079907454
21	0.1077576647
22	0.1073581613
23	0.107144769
24	0.1069274001
25	0.1066503717
26	0.1064448215
27	0.1062156646
28	0.1059922552
29	0.1057403123
30	0.1055202078
31	0.1052537414
32	0.1050188955
33	0.104697681
34	0.1045132772
35	0.1041686264
36	0.1039503786
37	0.1037749588
38	0.1034236711
39	0.1032621432
40	0.1030571864
41	0.1028144479
42	0.1026481904
43	0.1024698833
44	0.1023659104
45	0.1022013418
46	0.1019575862
47	0.1018165838
48	0.1016968894
49	0.1015645013
50	0.1014912425
51	0.1014063064
52	0.101283093
53	0.101127343
54	0.1010040371
55	0.1008300682
56	0.1006945628
57	0.1005711682
58	0.1004310604
59	0.1002008517
60	0.1000724731
61	0.09998029302
62	0.09985828643
63	0.09974143017
64	0.09961519186
65	0.09946322692
66	0.09938038901
67	0.09928573332
68	0.09916502284
69	0.09907288511
70	0.09897368114
71	0.09886737264
72	0.09880321526
73	0.09863873602
74	0.09855812597
75	0.09841195891
76	0.09830779357
77	0.09823748552
78	0.09809148457
79	0.09797175917
80	0.09788726442
81	0.0977765748
82	0.09774677565
83	0.09762640205
84	0.0975650234
85	0.09745285761
86	0.09724687188
87	0.09707692122
88	0.09703865003
89	0.09696375431
90	0.09689067663
91	0.09672268711
92	0.09664366581
93	0.09657341548
94	0.09645955754
95	0.09637876822
96	0.09632052679
97	0.09622617601
98	0.0961899725
99	0.09610634324
100	0.09602100282
101	0.09583180977
102	0.09578194994
103	0.09572264969
104	0.09565776823
105	0.09562416852
106	0.09558172086
107	0.09547711183
108	0.09540634015
109	0.09521996417
110	0.09512285002
111	0.09505200623
112	0.09498367834
113	0.09491986823
114	0.09478272062
115	0.09473440612
116	0.09470853274
117	0.09467344624
118	0.09453820297
119	0.09446122823
120	0.09441200818
121	0.09428809811
122	0.09423110521
123	0.09407882654
124	0.09397136368
125	0.09386009117
126	0.0938391453
127	0.09377363594
128	0.09373496616
129	0.09357295288
130	0.09351225976
131	0.09345039578
132	0.09342671926
133	0.09335524853
134	0.09328164662
135	0.09313699229
136	0.09309280708
137	0.09298244149
138	0.0928513735
